Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-8953;1966-12-01;283.0;8791;160.0;0.0;;31;
X-3081;1966-12-01;299.0;9294;200.0;0.0;;31;
X-9199;1966-12-01;591.0;18336;600.0;0.0;;31;
X-3947;1966-12-01;648.0;20094;0.0;0.0;;31;
X-6566;1966-12-01;299.0;9294;0.0;0.0;;31;
X-8953;1966-11-01;274.0;8234;300.0;0.0;;30;
X-3081;1966-11-01;315.0;9475;280.0;0.0;;30;
X-9199;1966-11-01;579.0;17370;400.0;0.0;;30;
X-3947;1966-11-01;612.0;18385;0.0;0.0;;30;
X-6566;1966-11-01;315.0;9475;0.0;0.0;;30;
X-8953;1966-10-01;383.0;11873;330.0;0.0;;31;
X-3081;1966-10-01;465.0;14440;320.0;0.0;;31;
X-9199;1966-10-01;838.0;25993;220.0;0.0;;31;
X-3947;1966-10-01;869.0;26956;0.0;0.0;;31;
X-6566;1966-10-01;455.0;14120;0.0;0.0;;31;
X-8953;1966-09-01;534.0;16037;0.0;0.0;;30;
X-3081;1966-09-01;534.0;16037;0.0;0.0;;30;
X-9199;1966-09-01;385.0;11565;0.0;0.0;;30;
X-6566;1966-09-01;801.0;24056;0.0;0.0;;30;
X-8953;1966-08-01;667.0;20679;0.0;0.0;;31;
X-3081;1966-08-01;667.0;20679;0.0;0.0;;31;
X-9199;1966-08-01;473.0;14689;0.0;0.0;;31;
X-6566;1966-08-01;1000.0;31018;0.0;0.0;;31;
X-8953;1966-07-01;611.0;18950;0.0;0.0;;31;
